scorer,Hadi,Hadi,Hadi,Hadi,Hadi,Hadi,Hadi,Hadi,Hadi,Hadi
bodyparts,Head,Head,Body1,Body1,Body2,Body2,Body3,Body3,Tail,Tail
coords,x,y,x,y,x,y,x,y,x,y
labeled-data/411/img0151.png,1006.4942699361279,1644.0537383479443,992.8221683519384,1628.7244123293076,977.7690464057096,1633.4198815602413,962.8540264956847,1640.324983370438,944.9007617891733,1649.3016157236939
labeled-data/411/img0286.png,1021.077882284138,1645.363318899904,1002.7065789815498,1635.0616534965834,987.254080876569,1630.082515218312,967.5092221868713,1639.010625234523,950.0800506896011,1647.8110581948529
labeled-data/411/img1176.png,1084.4331245145593,1653.4329567991717,1061.9411550506427,1642.1011248555192,1044.9434071351636,1636.9502921538588,1026.2287149857982,1633.6880981094741,1011.6743313186283,1633.1319141695603
labeled-data/411/img1218.png,1081.342624893563,1645.87840217007,1061.941155050643,1643.4746802426287,1044.9434071351639,1637.9804586941907,1030.1776867237377,1634.2031813796405,1015.4105079634319,1635.6207541342567
labeled-data/411/img1690.png,1113.4494820672453,1643.9897635127945,1095.7649564582118,1650.8575404483415,1075.3333200749594,1646.393485440236,1055.5884613852616,1639.6974029280775,1037.2582587524207,1637.8513232894295
labeled-data/411/img1702.png,1115.166426301132,1642.4445137022965,1095.078178764657,1649.4839850612323,1073.9597646878499,1645.3633188999038,1054.2149059981523,1639.0106252345229,1039.102880042189,1636.736038711843
labeled-data/411/img1730.png,1114.9947318777433,1648.2821240975115,1091.8159847202721,1648.4538185209003,1073.272986994295,1645.5350133232926,1054.901683691707,1639.3540140813004,1039.4888279075938,1636.7360387118429
labeled-data/411/img1774.png,1116.196592841464,1649.3122906378435,1096.4517341517665,1648.7972073676776,1077.565347579012,1645.8784021700699,1061.5537488363584,1639.0106252345229,1045.6287264798386,1637.3787990378908
labeled-data/411/img2049.png,1105.5515385913664,1659.098872770998,1098.1686783856533,1649.3122906378433,1084.433124514559,1646.5651798636247,1070.1824873732992,1642.4445137022963,1058.891756099394,1639.8250799839593
labeled-data/411/img2070.png,1115.3381207245206,1677.2984816501976,1106.4100107083095,1662.3610668153829,1094.048012224325,1648.4538185208999,1073.95976468785,1643.1312913958513,1057.904148577689,1639.3965730999273
labeled-data/411/img2200.png,1065.0316546716388,1664.2497054726582,1082.0294025871176,1651.887706988674,1075.3333200749594,1642.4445137022965,1060.9109885103107,1637.980458694191,1042.8830740544997,1634.0314869562515
labeled-data/411/img2210.png,1062.28454389742,1669.5722325977072,1078.252125272567,1656.6951508435566,1078.9389029661215,1644.848235629738,1061.9411550506427,1638.8389308111346,1043.3981573246658,1634.0314869562515
labeled-data/411/img2259.png,1063.1430160143634,1675.5815374163108,1075.3333200749594,1662.876150085549,1077.5653475790123,1647.0802631337908,1063.1430160143634,1638.838930811134,1042.5396852077224,1637.980458694191
labeled-data/411/img2278.png,1062.799627167586,1677.4701760735863,1075.505014498348,1663.7346222024921,1077.2219587322347,1645.8784021700699,1063.4864048611407,1639.010625234523,1043.5698517480546,1637.8087642708024
labeled-data/411/img2328.png,1096.4517341517665,1667.1685106702657,1084.433124514559,1653.776345645949,1074.1314591112389,1644.161457936183,1060.9109885103105,1638.8389308111343,1045.4995910750772,1637.8087642708022
labeled-data/411/img2360.png,1094.5630954944909,1675.2381485695335,1088.0387074057212,1659.7856504645526,1076.1917921919028,1645.8784021700699,1060.3959052401447,1639.0106252345229,1043.0547684778883,1637.2936810006363
labeled-data/411/img2410.png,1093.3612345307702,1682.7927031986353,1089.9273460629968,1664.2497054726582,1077.9087364257896,1647.5953464039567,1063.3147104377522,1640.040791774855,1045.198761246927,1639.0106252345229
labeled-data/411/img2459.png,1097.138511845321,1684.6813418559107,1090.6141237565514,1666.9968162468767,1080.3124583532308,1651.3726237185076,1064.8599602482502,1640.3841806216324,1047.1725179414568,1639.311455062673
labeled-data/411/img2496.png,1085.119902208114,1676.2683151098656,1088.5537906758875,1662.1893723919943,1077.9087364257896,1649.312290637843,1062.4562383208086,1640.2124861982438,1046.8291290946795,1639.8265383328392
labeled-data/411/img2534.png,1105.8949274381437,1649.9990683313981,1088.0387074057214,1656.0083731500017,1076.020097768514,1648.110429674123,1060.739294086922,1637.8087642708022,1047.216535308964,1639.9982327562275
